,y,count,x,xmin,xmax,density,ncount,ndensity,PANEL,group,ymin,ymax,colour,fill,size,linetype,alpha,,,,,,max',1
1,1,1,-6.08,-6.24,-5.92,0.012065637,0.090909091,7.534545455,1,-1,0,1,NA,grey35,0.5,1,NA,0.32,0.003861004,0.012065637,0.090909091,7.534545455,min',0
2,0,0,-5.76,-5.92,-5.6,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,max,11
3,0,0,-5.44,-5.6,-5.28,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,min,0
4,0,0,-5.12,-5.28,-4.96,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,,
5,0,0,-4.8,-4.96,-4.64,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,b = (max' - (a * max)) or (min' - (a * min')),
6,0,0,-4.48,-4.64,-4.32,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,a,0.090909091
7,0,0,-4.16,-4.32,-4,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,b,0
8,0,0,-3.84,-4,-3.68,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,,
9,0,0,-3.52,-3.68,-3.36,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,,
10,0,0,-3.2,-3.36,-3.04,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,,
11,1,1,-2.88,-3.04,-2.72,0.012065637,0.090909091,7.534545455,1,-1,0,1,NA,grey35,0.5,1,NA,0.32,0.003861004,0.012065637,0.090909091,7.534545455,,
12,0,0,-2.56,-2.72,-2.4,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,,
13,0,0,-2.24,-2.4,-2.08,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,,
14,0,0,-1.92,-2.08,-1.76,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,,
15,0,0,-1.6,-1.76,-1.44,0,0,0,1,-1,0,0,NA,grey35,0.5,1,NA,0.32,0,0,0,#DIV/0!,,
16,1,1,-1.28,-1.44,-1.12,0.012065637,0.090909091,7.534545455,1,-1,0,1,NA,grey35,0.5,1,NA,0.32,0.003861004,0.012065637,0.090909091,7.534545455,,
